 #  energy  xx  yy  zz  xy  xz  yz
         0.1173         1.9302         1.6609         1.0000         0.0000         0.0000         0.0000
         0.1187         1.9304         1.6611         1.0000         0.0000         0.0000         0.0000
         0.1200         1.9306         1.6613         1.0000         0.0000         0.0000         0.0000
         0.1213         1.9308         1.6614         1.0000         0.0000         0.0000         0.0000
         0.1227         1.9310         1.6616         1.0000         0.0000         0.0000         0.0000
         0.1240         1.9312         1.6618         1.0000         0.0000         0.0000         0.0000
         0.1253         1.9314         1.6619         1.0000         0.0000         0.0000         0.0000
         0.1267         1.9316         1.6621         1.0000         0.0000         0.0000         0.0000
         0.1280         1.9318         1.6623         1.0000         0.0000         0.0000         0.0000
         0.1293         1.9320         1.6624         1.0000         0.0000         0.0000         0.0000
         0.1307         1.9322         1.6626         1.0000         0.0000         0.0000         0.0000
         0.1320         1.9324         1.6628         1.0000         0.0000         0.0000         0.0000
         0.1333         1.9326         1.6629         1.0000         0.0000         0.0000         0.0000
         0.1347         1.9328         1.6631         1.0000         0.0000         0.0000         0.0000
         0.1360         1.9330         1.6633         1.0000         0.0000         0.0000         0.0000
         0.1373         1.9332         1.6634         1.0000         0.0000         0.0000         0.0000
         0.1387         1.9334         1.6636         1.0000         0.0000         0.0000         0.0000
         0.1400         1.9336         1.6638         1.0000         0.0000         0.0000         0.0000
         0.1413         1.9339         1.6639         1.0000         0.0000         0.0000         0.0000
         0.1427         1.9341         1.6641         1.0000         0.0000         0.0000         0.0000
         0.1440         1.9343         1.6643         1.0000         0.0000         0.0000         0.0000
         0.1453         1.9345         1.6644         1.0000         0.0000         0.0000         0.0000
         0.1467         1.9347         1.6646         1.0000         0.0000         0.0000         0.0000
         0.1480         1.9349         1.6648         1.0000         0.0000         0.0000         0.0000
         0.1493         1.9351         1.6649         1.0000         0.0000         0.0000         0.0000
         0.1507         1.9353         1.6651         1.0000         0.0000         0.0000         0.0000
         0.1520         1.9355         1.6653         1.0000         0.0000         0.0000         0.0000
         0.1533         1.9357         1.6655         1.0000         0.0000         0.0000         0.0000
         0.1547         1.9359         1.6656         1.0000         0.0000         0.0000         0.0000
         0.1560         1.9361         1.6658         1.0000         0.0000         0.0000         0.0000
         0.1573         1.9363         1.6660         1.0000         0.0000         0.0000         0.0000
         0.1587         1.9365         1.6661         1.0000         0.0000         0.0000         0.0000
         0.1600         1.9367         1.6663         1.0000         0.0000         0.0000         0.0000
         0.1613         1.9369         1.6665         1.0000         0.0000         0.0000         0.0000
         0.1627         1.9371         1.6666         1.0000         0.0000         0.0000         0.0000
         0.1640         1.9373         1.6668         1.0000         0.0000         0.0000         0.0000
         0.1653         1.9375         1.6670         1.0000         0.0000         0.0000         0.0000
         0.1667         1.9377         1.6671         1.0000         0.0000         0.0000         0.0000
         0.1680         1.9379         1.6673         1.0000         0.0000         0.0000         0.0000
         0.1693         1.9381         1.6675         1.0000         0.0000         0.0000         0.0000
         0.1707         1.9383         1.6677         1.0000         0.0000         0.0000         0.0000
         0.1720         1.9385         1.6678         1.0000         0.0000         0.0000         0.0000
         0.1733         1.9387         1.6680         1.0000         0.0000         0.0000         0.0000
         0.1747         1.9389         1.6682         1.0000         0.0000         0.0000         0.0000
         0.1760         1.9391         1.6683         1.0000         0.0000         0.0000         0.0000
         0.1773         1.9393         1.6685         1.0000         0.0000         0.0000         0.0000
         0.1787         1.9395         1.6687         1.0000         0.0000         0.0000         0.0000
         0.1800         1.9398         1.6689         1.0000         0.0000         0.0000         0.0000
         0.1813         1.9400         1.6690         1.0000         0.0000         0.0000         0.0000
         0.1827         1.9402         1.6692         1.0000         0.0000         0.0000         0.0000
         0.1840         1.9404         1.6694         1.0000         0.0000         0.0000         0.0000
         0.1853         1.9406         1.6695         1.0000         0.0000         0.0000         0.0000
         0.1867         1.9408         1.6697         1.0000         0.0000         0.0000         0.0000
         0.1880         1.9410         1.6699         1.0000         0.0000         0.0000         0.0000
         0.1893         1.9412         1.6701         1.0000         0.0000         0.0000         0.0000
         0.1907         1.9414         1.6702         1.0000         0.0000         0.0000         0.0000
         0.1920         1.9416         1.6704         1.0000         0.0000         0.0000         0.0000
         0.1933         1.9418         1.6706         1.0000         0.0000         0.0000         0.0000
         0.1947         1.9420         1.6707         1.0000         0.0000         0.0000         0.0000
         0.1960         1.9422         1.6709         1.0000         0.0000         0.0000         0.0000
         0.1973         1.9424         1.6711         1.0000         0.0000         0.0000         0.0000
         0.1987         1.9426         1.6713         1.0000         0.0000         0.0000         0.0000
         0.2000         1.9429         1.6714         1.0000         0.0000         0.0000         0.0000
         0.2013         1.9431         1.6716         1.0000         0.0000         0.0000         0.0000
         0.2027         1.9433         1.6718         1.0000         0.0000         0.0000         0.0000
         0.2040         1.9435         1.6719         1.0000         0.0000         0.0000         0.0000
         0.2053         1.9437         1.6721         1.0000         0.0000         0.0000         0.0000
         0.2067         1.9439         1.6723         1.0000         0.0000         0.0000         0.0000
         0.2080         1.9441         1.6725         1.0000         0.0000         0.0000         0.0000
         0.2093         1.9443         1.6726         1.0000         0.0000         0.0000         0.0000
         0.2107         1.9445         1.6728         1.0000         0.0000         0.0000         0.0000
         0.2120         1.9447         1.6730         1.0000         0.0000         0.0000         0.0000
         0.2133         1.9449         1.6732         1.0000         0.0000         0.0000         0.0000
         0.2147         1.9451         1.6733         1.0000         0.0000         0.0000         0.0000
         0.2160         1.9453         1.6735         1.0000         0.0000         0.0000         0.0000
         0.2173         1.9456         1.6737         1.0000         0.0000         0.0000         0.0000
         0.2187         1.9458         1.6739         1.0000         0.0000         0.0000         0.0000
         0.2200         1.9460         1.6740         1.0000         0.0000         0.0000         0.0000
         0.2213         1.9462         1.6742         1.0000         0.0000         0.0000         0.0000
         0.2227         1.9464         1.6744         1.0000         0.0000         0.0000         0.0000
         0.2240         1.9466         1.6746         1.0000         0.0000         0.0000         0.0000
         0.2253         1.9468         1.6747         1.0000         0.0000         0.0000         0.0000
         0.2267         1.9470         1.6749         1.0000         0.0000         0.0000         0.0000
         0.2280         1.9472         1.6751         1.0000         0.0000         0.0000         0.0000
         0.2293         1.9474         1.6753         1.0000         0.0000         0.0000         0.0000
         0.2307         1.9477         1.6754         1.0000         0.0000         0.0000         0.0000
